book,author,urls,text
Один день в декабре, Джози Силвер,https://enjoybooks.pw/odin-den-v-dekabre/,"Это трогательная волнительная новогодняя любовная история, в которой талантливый автор показывает, насколько судьба бывает благосклонной к людям и дарит им … "
Луч, Марина и Сергей Дяченко,https://enjoybooks.pw/luch/,"После долгого перерыва легендарная супружеская пара писателей-фантастов создала очередной шедевр. В свой тринадцатый день рождения Денис узнает, что его жизнь … "
"«Магия, инкорпорейтед». Дорога Доблести", Роберт Хайнлайн,https://enjoybooks.pw/magiya-inkorporejted-doroga-doblesti/,"Великолепное произведение известного американского писателя-фантаста, одного из наиболее значимых и титулованных представителей жанра в англо-американской литературной традиции, произведет особое впечатление … "
Машина до Килиманджаро, Рей Брэдбери,https://enjoybooks.pw/mashina-do-kilimandzharo/,"Очередной философский сборник от классика научной фантастики сочетает в себе множество разноплановых рассказов, уложенных в пятилетний интервал. Присущая творчеству автора … "
Летний дракон. Первая книга Вечнолива, Тодд Локвуд,https://enjoybooks.pw/letnij-drakon-pervaya-kniga-vechnoliva/,Захватывающий роман известного американского писателя и иллюстратора представлен в жанре фэнтези. В основе сюжета – история юной Майи и ее … 
На подъеме, Стивен Кинг,https://enjoybooks.pw/na-podeme/,"Если Вы обожаете мистику, ужасы, триллеры, то произведения этого писателя именно то, что нужно. Книга принадлежит захватывающей серии «Вселенная Стивена … "
Карта дней, Ренсом Риггз,https://enjoybooks.pw/karta-dnej/,История о доме странных детей давно покорила сердца и стала бестселлером мирового уровня. Четвертая часть оказалась приятной неожиданностью после завершенного … 
"Какая такая любовь, у нас же дети!", Яна Катаева,https://enjoybooks.pw/kakaya-takaya-lyubov-u-nas-zhe-deti/,"Глубокое произведение известного психолога и тренера заставляет задуматься о сложной теме взаимоотношения полов, о том, как добиться гармонии в семье, … "
Врагов не выбирают, Евгения Горская,https://enjoybooks.pw/vragov-ne-vybirayut/,"Легкий новогодний детектив талантливой писательницы, в котором гораздо больше написано про любовь, чувства, эмоции, чем про криминал. В основе сюжета … "
Мадам Флёр, Жаклин Санд,https://enjoybooks.pw/madam-flyor/,Увлекательное произведение французской писательницы написано в жанре исторические любовные романы и является четвертой книгой серии «Расследования виконта де Моро». В … 
Из новейшей истории, Леонид Млечин,https://enjoybooks.pw/iz-novejshej-istorii/,"Известная работа популярного журналиста, писателя, международного обозревателя, автора исторической, биографической, документальной прозы принадлежит циклу книг «История Леонида Млечина». Талантливый писатель … "
Месть духов, Анна Велес,https://enjoybooks.pw/mest-duhov/,Увлекательный роман талантливой писательницы написан в жанре фэнтези и является книгой захватывающей серии «Новые охотники за привидениями». Манил ли вас … 
Ты же оратор. Мощные инструменты для выступлений и презентаций, Александр Яныхбаш,https://enjoybooks.pw/ty-zhe-orator-moshhnye-instrumenty-dlya-vystuplenij-i-prezentatsij/,"В современном мире умение представлять себя крайне необходимо. Для продвижения по работе, привлечения клиентов, управления крупными компаниями важно показывать себя … "
Приоритетное направление, Святослав Секунда,https://enjoybooks.pw/prioritetnoe-napravlenie/,Захватывающий роман талантливого автора принадлежит серии «Боевая фантастика» и читается буквально на одном дыхании. В основе неповторимого сюжета – небезопасные … 
Евразийская империя. История Российского государства. Эпоха цариц, Борис Акунин,https://enjoybooks.pw/evrazijskaya-imperiya-istoriya-rossijskogo-gosudarstva-epoha-tsarits/,"Увлекательное произведение популярного российского писателя, литературоведа, переводчика и общественного деятеля является шестой книгой серии «История российского государства». Книга имеет возрастное … "
"Кто вам сказал, что вы живы? Психофилософский роман", Андрей Маркович Максимов,https://enjoybooks.pw/kto-vam-skazal-chto-vy-zhivy-psihofilosofskij-roman/,"Необычное оригинальное произведение популярного талантливого писателя, известного журналиста, театрального режиссера, радио и телеведущего представлено в жанре современная проза. Роман заставит … "
Орёл и Дракон, Ник Перумов,https://enjoybooks.pw/oryol-i-drakon/,Захватывающее произведение современного российского писателя является седьмым романом захватывающего цикла «Гибель богов-2» и представлено в жанре боевое фэнтези. Увлекательная книга … 
Остров Ним, Венди Орр,https://enjoybooks.pw/ostrov-nim/,"В современном литературном мире Робинзоном Крузо становится маленькая девочка, живущая на райском острове со своим отцом — океанологом. Длинные солнечные … "
Она & Он, Марк Леви,https://enjoybooks.pw/ona-on/,"Начинающий писатель – Пол, выпускает свой первый роман. После этого уезжает из Сан-Франциско в романтичную столицу Франции. Он продолжает писать, … "
Варкрафт, Кристи Голден,https://enjoybooks.pw/varkraft/,"Тихому, мирному Азерону угрожает страшная война. Жестокие воины-орки в поисках нового дома. Их родной Дренор умирает, и они вынуждены его … "
#SEKTA. Путь к идеальному телу. Истории до и после, Ольга Маркес,https://enjoybooks.pw/sekta-put-k-idealnomu-telu-istorii-do-i-posle/,"«#SEKTA» — это совокупность уникальных методик по корректировке и изменению пищевых привычек, разработанная система тренировок, построенная на опыте и научной … "
#SEKTA. Школа Идеального тела. История не про тело, Ольга Маркес,https://enjoybooks.pw/sekta-shkola-idealnogo-tela-istoriya-ne-pro-telo/,"«#SEKTA» — это сообщество, философией которого является правильное питание и здоровый образ жизни. Как оно было создано и с какими … "
Я чувствую тебя, Ирэне Као,https://enjoybooks.pw/ya-chuvstvuyu-tebya/,"Элена начинает новую жизнь. Страстный роман с горячим итальянским поваром уже позади. Он делает ее сильнее, заставляет пройти сквозь боль, … "
Я смотрю на тебя, Ирэне Као,https://enjoybooks.pw/ya-smotryu-na-tebya/,"События происходят в самом романтичной и красивом городе Италии – Венеции. Главная героиня романа – Элена, работает реставратором старинок. Девушка … "
Дневник свекрови, Мария Метлицкая,https://enjoybooks.pw/dnevnik-svekrovi/,"Будто совсем недавно водили своего маленького сыночка за ручку в садик, а вот уже сегодня, совершенно неожиданно, он стает взрослым, … "
Вторая жизнь, Маша Трауб,https://enjoybooks.pw/vtoraya-zhizn/,"Идеальная семья, в которой царит любовь, взаимопонимания, гармония, счастье – мечта каждого человека. Мы верим, что все так и будет … "
Тихая музыка за стеной, Виктория Самойловна Токарева,https://enjoybooks.pw/tihaya-muzyka-za-stenoj/,"Даже сильные женщины мечтают быть любимыми. Стать слабой и защищённой, обрести свое семейное счастье, спокойствие, как «тихая музыка за стеной». … "
Двойная жизнь, Олег Юрьевич Рой,https://enjoybooks.pw/dvojnaya-zhizn/,"Молодой успешный бизнесмен – Денис Воронцов, яркий пример для подражания, идеальный муж и заботливый отец для своего сына. Ему завидуют … "
Игра с огнем, Анна Джейн,https://enjoybooks.pw/igra-s-ognem/,"Она безответно и безнадежно влюблена в главного красавчика университета – популярного и желанного парня, на прозвище Смерч. Самая обычная, простая … "
Отара уходит на ветер, Алексей Васильевич Леснянский,https://enjoybooks.pw/otara-uhodit-na-veter/,Потрясающая повесть о двух молодых парнях пастухах. Однажды они теряют свою отару овец и им предстоят нелегкие поиски. Чабаны даже … 
Клеймо, Сесилия Ахерн,https://enjoybooks.pw/klejmo/,"Главная героиня этого фантастического романа – Селестина Норт. Молодая, красивая, умная девушка, идеальная во всем, пример для подражания. Ее очень … "
Миндальное сердце, Черстин Лундберг Хан,https://enjoybooks.pw/mindalnoe-serdtse/,"Мир глазами ребенка – не только сказочный и волшебный. В нем бывает непонимание взрослых, неисполненные желания, внезапные изменения, необъяснимые малышу. … "
Искушение Тьюринга, Давид Лагеркранц,https://enjoybooks.pw/iskushenie-tyuringa/,"Захватывающее произведение известного шведского писателя и журналиста представлено в жанре шпионские детективы и принадлежит серии «DETECTED. Тайна, покорившая мир». Книга … "
Странная практика, Вивиан Шоу,https://enjoybooks.pw/strannaya-praktika/,"Оказывается, книжные чудовища живут возле нас: вампиры, оборотни, упыри, мумии. Но знает об этом лишь врач, унаследовавший дело знаменитого отца … "
